customer_id,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,0,1,1,1,101348.88,1
15647311,83807.86,1,0,1,112542.58,0
15619304,159660.8,3,1,0,113931.57,1
15701354,0,2,0,0,93826.63,0
15737888,125510.82,1,1,1,79084.1,0
15574012,113755.78,2,1,0,149756.71,1
15592531,0,2,1,1,10062.8,0
15656148,115046.74,4,1,0,119346.88,1
15792365,142051.07,2,0,1,74940.5,0
15592389,134603.88,1,1,1,71725.73,0
15767821,102016.72,2,0,0,80181.12,0
15737173,0,2,1,0,76390.01,0
15632264,0,2,1,0,26260.98,0
15691483,0,2,0,0,190857.79,0
15600882,0,2,1,1,65951.65,0
15643966,143129.41,2,0,1,64327.26,0
15737452,132602.88,1,1,0,5097.67,1
15788218,0,2,1,1,14406.41,0
15661507,0,1,0,0,158684.81,0
15568982,0,2,1,1,54724.03,0
15577657,0,2,1,1,170886.17,0
15597945,0,2,1,0,138555.46,0
15699309,0,1,1,0,118913.53,1
15725737,0,2,0,1,8487.75,0
15625047,0,1,1,1,187616.16,0
15738191,0,2,0,1,124508.29,0
15736816,136815.64,1,1,1,170041.95,0
15700772,0,2,0,0,38433.35,0
15728693,141349.43,1,1,1,100187.43,0
15656300,59697.17,2,1,1,53483.21,0
15589475,0,3,1,0,140469.38,1
15706552,85311.7,1,0,1,156731.91,0
15750181,110112.54,2,0,0,81898.81,0
15659428,0,2,1,1,34410.55,0
15732963,0,2,1,1,142033.07,0
15794171,134264.04,1,1,0,27822.99,1
15788448,145260.23,1,0,1,114066.77,0
15729599,76548.6,1,0,1,98453.45,0
15717426,0,1,1,1,40812.9,0
15585768,70349.48,2,0,1,178074.04,0
15619360,0,1,1,0,70154.22,0
15738148,122522.32,1,0,0,181297.65,1
15687946,117419.35,1,1,1,94153.83,0
15755196,131394.56,1,0,0,194365.76,1
15684171,155931.11,1,1,1,158338.39,0
15754849,109421.13,2,1,1,126517.46,0
15602280,112045.67,1,1,1,119708.21,1
15771573,137843.8,1,1,1,117622.8,1
15766205,103391.38,1,0,1,90878.13,0
15771873,103769.22,2,1,0,194099.12,0
15616550,116363.37,2,1,0,198059.16,0
15768193,146050.97,2,0,0,86424.57,0
15683553,0,2,0,0,116978.19,0
15702298,125561.97,1,0,0,164040.94,1
15569590,98495.72,1,1,0,40014.76,1
15760861,125211.92,1,1,1,113410.49,0
15630053,127864.4,1,1,0,87107.57,0
15647091,75888.2,1,0,0,45613.75,0
15623944,0,1,1,0,1643.11,1
15804771,40685.92,1,1,1,46775.28,0
15651280,136857,1,0,0,84509.57,0
15773469,152328.88,2,0,0,126494.82,0
15702014,56084.69,2,0,0,178798.13,0
15751208,78707.16,1,1,1,99398.36,0
15592461,109166.37,1,1,1,92840.67,0
15789484,169831.46,2,1,1,27758.36,0
15696061,101633.04,1,1,0,110431.51,0
15641582,123180.01,2,1,1,196673.28,0
15638424,150725.53,2,0,1,113656.85,0
15755648,98373.26,1,1,0,18203,0
15703793,133745.44,4,1,0,28373.86,1
15620344,0,1,1,0,33953.87,0
15812518,163607.18,1,0,1,44203.55,0
15779052,157780.84,2,1,1,58426.81,0
15770811,0,2,0,1,145562.4,0
15780961,178718.19,2,1,0,22388,0
15614049,0,2,1,1,139161.64,0
15662085,0,1,1,1,148210.64,0
15575185,77253.22,1,0,1,194239.63,0
15803136,122189.66,2,1,0,98301.61,0
15706021,96645.54,2,0,0,171413.66,0
15663706,0,1,1,0,136458.19,1
15641732,0,2,0,0,26019.59,0
15701164,90307.62,1,1,1,159235.29,0
15738751,0,2,1,0,1907.66,0
15805254,0,2,1,1,114675.75,0
15762418,121681.82,1,1,0,128643.35,1
15625759,0,2,1,0,151869.35,0
15622897,0,3,1,0,93251.42,1
15767954,81623.67,2,1,1,156791.36,0
15757535,0,3,1,1,174205.22,1
15731511,118626.55,2,1,0,147132.46,0
15809248,0,2,1,0,109614.57,0
15640635,0,2,1,1,172290.61,0
15676966,0,2,0,1,85982.47,0
15699461,176273.95,1,0,1,121277.78,0
15738721,102827.44,1,0,1,64595.25,0
15693683,97086.4,2,1,1,197276.13,0
15604348,0,2,0,0,99645.04,0
15633059,0,2,0,0,6534.18,0
15808582,0,1,1,1,161848.03,0
15743192,0,2,0,0,167162.43,0
15580146,82674.15,1,1,0,41970.72,0
15776605,0,2,1,0,60536.56,0
15804919,0,1,1,1,177655.68,1
15613854,107073.27,2,1,1,30984.59,1
15599195,88938.62,1,1,1,10054.53,0
15812878,99806.85,1,0,1,36976.52,0
15602312,150092.8,1,0,0,71862.79,0
15744689,92833.89,1,1,0,99449.86,1
15803526,90536.81,1,0,1,63082.88,0
15665790,108055.1,2,1,0,27231.26,0
15715951,100238.35,1,0,0,86797.41,0
15591100,106190.55,1,0,1,22994.32,0
15609618,154475.54,2,0,1,101300.94,1
15675522,132351.29,2,1,1,74169.13,0
15705512,167864.4,1,1,0,115638.29,0
15698028,0,2,1,0,31766.3,0
15661670,107818.63,1,1,0,199725.39,1
15600781,185173.81,2,1,0,120834.48,0
15682472,129433.34,2,0,0,38131.77,0
15580203,120193.42,1,0,0,100130.95,0
15690673,0,2,1,0,141069.88,0
15760085,126384.42,1,1,1,198129.36,0
15779659,0,1,0,0,183646.41,0
15627360,152603.45,1,1,0,110265.24,1
15671137,0,1,0,1,8636.05,1
15782688,148507.24,1,1,0,46824.08,1
15575492,0,2,1,0,171378.77,0
15591607,101827.07,1,1,0,167256.35,0
15740404,0,2,1,1,124226.16,0
15718369,130862.43,1,1,1,114935.21,0
